30,1.0718,0.06699,0.06699,0,0,0,1,2,6,-1
29,0.87214,0.060931,0.060931,0,0,0,1,2,7,-1
28,0.89288,0.061388,0.061388,0,0,0,1,2,7,-1
27,0.81117,0.059874,0.059874,0,0,0,1,2,8,-1
26,1.2106,0.075661,0.075661,0,0,0,1,2,6,-1
25,1.6505,0.10316,0.10316,0,0,0,1,2,6,-1
24,1.1312,0.071574,0.071574,0,0,0,1,2,6,-1
23,1.1253,0.11491,0.11491,0,0,0,1,2,6,-1
22,0.83197,0.059227,0.059227,0,0,0,1,2,8,-1
21,1.2455,0.081664,0.081664,0,0,0,1,2,6,-1
20,0.87373,0.10263,0.10263,0,0,0,1,2,7,-1
19,0.94675,0.081241,0.06699,0,0,30,1,3,7,-1
18,0.75611,0.081241,0.060931,0,0,29,1,3,8,-1
17,0.75869,0.081851,0.061388,0,0,28,1,3,8,-1
16,0.789,0.081851,0.081241,18,0,19,0,0,8,-1
15,0.79842,0.081851,0.081851,16,0,17,0,0,8,-1
14,0.75841,0.079832,0.059874,0,0,27,1,3,8,-1
13,1.5045,0.086339,0.075661,0,0,26,1,3,6,-1
12,0.79474,0.10316,0.10316,0,0,25,1,3,8,-1
11,3.6904,0.095432,0.079832,14,0,15,0,0,6,-1
10,2.1234,0.095432,0.071574,0,0,24,1,3,6,-1
9,0.78886,0.15321,0.11491,12,0,13,0,0,8,-1
8,1.8187,0.15321,0.11491,0,0,23,1,3,6,-1
7,2.2257,0.07897,0.059227,0,0,22,1,3,6,-1
6,1.2401,0.095432,0.095432,10,0,11,0,0,6,-1
5,3.1737,0.15321,0.15321,8,0,9,0,0,6,-1
4,3.5721,0.10889,0.081664,0,0,21,1,3,6,-1
3,5.3609,0.13684,0.10263,6,0,7,0,0,6,-1
2,5.4794,0.13684,0.10263,0,0,20,1,3,6,-1
1,0.75264,0.13684,0.10889,4,0,5,0,0,8,-1
0,0.83143,0.18476,0.13857,1,2,3,0,1,8,-1
