13,1.2106,0.11491,0.11491,0,0,0,1,2,6,-1
12,0.96955,0.11491,0.11491,0,0,0,1,2,7,-1
11,1.2455,0.081664,0.081664,0,0,0,1,2,6,-1
10,1.4113,0.088206,0.088206,0,0,0,1,2,6,-1
9,1.1312,0.10263,0.10263,0,0,0,1,2,6,-1
8,2.1356,0.15321,0.11491,0,0,13,1,3,6,-1
7,0.76607,0.15321,0.11491,0,0,12,1,3,8,-1
6,3.1737,0.15321,0.15321,7,0,8,0,0,6,-1
5,3.5721,0.10889,0.081664,0,0,11,1,3,6,-1
4,4.4549,0.088206,0.088206,0,0,10,1,3,6,-1
3,0.77784,0.10889,0.10889,5,0,6,0,0,8,-1
2,8.7244,0.13684,0.10263,0,0,9,1,3,6,-1
1,0.75264,0.13684,0.10263,3,0,4,0,0,8,-1
0,0.83143,0.18476,0.13857,1,0,2,0,1,8,-1
