36, 1.02, 0.0882, 0.0882, 0, 0, 0, -1, -2
35, 1.02, 0.0817, 0.0817, 0, 0, 0, -1, -2
34, 1.02, 0.1149, 0.1149, 0, 0, 0, -1, -2
33, 1.02, 0.1149, 0.1149, 0, 0, 0, -1, -2
32, 1.02, 0.1149, 0.1149, 0, 0, 0, -1, -2
31, 1.02, 0.1026, 0.1026, 0, 0, 0, -1, -2
30, 2.58, 0.09, 0.09, 35, 0, 36, 0, -2
29, 1.44, 0.23, 0.18, 33, 0, 34, 0, -2
28, 1.02, 0.0817, 0.0817, 0, 0, 0, -1, -2
27, 1.02, 0.1149, 0.1149, 0, 0, 0, -1, -2
26, 2.58, 0.09, 0.09, 31, 0, 32, 0, -2
25, 1.44, 0.27, 0.23, 29, 0, 30, 0, -2
24, 1.02, 0.1026, 0.1026, 0, 0, 0, -1, -2
23, 1.02, 0.0882, 0.0882, 0, 0, 0, -1, -2
22, 2.58, 0.09, 0.09, 27, 0, 28, 0, -2
21, 1.44, 0.32, 0.27, 25, 0, 26, 0, -2
20, 2.58, 0.09, 0.09, 23, 0, 24, 0, -2
19, 1.44, 0.37, 0.32, 21, 0, 22, 0, -2
18, 1.44, 0.41, 0.37, 19, 0, 20, 0, -2
17, 4.2712, 0.1532, 0.1149, 0, 0, 27, -1, -2
16, 3.0644, 0.1532, 0.1149, 0, 0, 32, -1, -2
15, 3.1737, 0.1532, 0.1532, 16, 0, 17, 0, -2
14, 7.1442, 0.1089, 0.0817, 0, 0, 28, -1, -2
13, 4.4549, 0.0882, 0.0882, 0, 0, 23, -1, -2
12, 0.7778, 0.1089, 0.1089, 14, 0, 15, 0, -2
11, 8.7244, 0.1386, 0.1026, 0, 0, 24, -1, -2
10, 1.5052, 0.1386, 0.1026, 12, 0, 13, 0, -2
9, 1.6628, 0.1848, 0.1386, 10, 0, 11, 0, -2
8, 4.2712, 0.1532, 0.1149, 0, 0, 34, -1, -2
7, 3.0644, 0.1532, 0.1149, 0, 0, 33, -1, -2
6, 3.1737, 0.1532, 0.1532, 7, 0, 8, 0, -2
5, 7.1442, 0.1089, 0.0817, 0, 0, 35, -1, -2
4, 4.4549, 0.0882, 0.0882, 0, 0, 36, -1, -2
3, 0.7778, 0.1089, 0.1089, 5, 0, 6, 0, -2
2, 8.7244, 0.1386, 0.1026, 0, 0, 31, -1, -2
1, 1.5052, 0.1386, 0.1026, 3, 0, 4, 0, -2
0, 1.6628, 0.1848, 0.1386, 1, 0, 2, 0, -2
